Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
83,0.48092631031485167,0.5299348831176758,94.92084266005384,167.3844818610526,0.9914610385894775,79.33820852596364,150.87783367714184,0.9995468854904175,84.36623623546738,183.99491724211921,0.9108930826187134,89.83578571219569,127.13520513908395,0.9661315679550171,86.53975072663077,205.67058327968945,0.8556079268455505,190.08255732580366,89.81648778260572,0.6342997550964355,204.03486578056726,250.4301550552044,0.718546986579895,311.4857295080368,63.07031219520521,0.8607785701751709,306.99567618114077,278.6790675474017,0.046786725521087646,272.65671145930867,215.60954324672284,0.13890904188156128,181.08720849426498,155.73190860057738,0.21079373359680176,263.66852530528246,100.50338169817026,0.06558430194854736,321.1934209435471,207.22872349504524,0.07037240266799927,309.3449484531055,282.48648905664794,0.10277408361434937,263.3740533073892,266.29087298103934,0.057535260915756226,361.118099446005,111.80388787087429,0.01579102873802185,81.47881051395716,139.87048873234627
84,0.458740267683478,0.5214767456054688,95.97965830065932,167.68608788574826,0.9917746782302856,79.30396376477644,151.21079790398719,0.9996852874755859,84.82436108916588,184.24200096558988,0.8882732391357422,89.6259264237574,127.42271501443507,0.9661166071891785,86.74830640776177,205.44723666949514,0.7767293453216553,193.52012681901527,87.37242463644077,0.7545865774154663,189.87807720817727,245.2325437929151,0.44042694568634033,316.2398850801732,64.8145101216253,0.8201010227203369,314.048134412063,276.33478049898565,0.07198479771614075,245.66533593262326,181.20178817006087,0.08622017502784729,194.41432980502887,172.1603976474719,0.05857115983963013,300.46552039442884,168.16313653343477,0.059152692556381226,287.91006298279495,66.49339875448658,0.08624568581581116,309.15582511606584,281.8382667417681,0.10902497172355652,267.8561703876014,94.05643473612086,0.1340489685535431,362.82699969764354,110.81154187758466,0.034165650606155396,275.9752086015527,243.95985060178683
85,0.49303045693565817,0.4990052580833435,96.31351786219373,167.49364106634283,0.9915475249290466,79.0749658020248,151.23264407040028,0.9997206926345825,84.71682781167095,184.14162320292994,0.9029281735420227,89.56846742475226,127.15528928682896,0.9577356576919556,86.5354029813807,205.21167053146456,0.7753444910049438,192.17607903450764,87.2338912906718,0.7284621596336365,202.5507160239154,250.2615169758505,0.5845749974250793,316.0522802307662,66.94845081953223,0.6317724585533142,309.33085230376093,280.114152963093,0.055460989475250244,188.6725699321161,164.8180801829744,0.15255886316299438,204.522386262777,171.02660309866573,0.08467328548431396,304.60308403558054,164.54565490646456,0.08340117335319519,335.5475699321161,199.18423442864386,0.2385566532611847,305.97909168714887,283.68036414442884,0.49422797560691833,307.254019633661,281.1046653109394,0.17885705828666687,272.77867753199126,227.04172092013889,0.02269035577774048,239.93994994050405,241.8570603883817
86,0.4866463664700003,0.5563679337501526,98.71744136357873,168.67115659868523,0.9913100600242615,79.30427175990948,151.26102259870473,0.999531626701355,85.08145823579899,184.29083610087,0.9577749967575073,90.07653762874531,127.00614801566401,0.9654076099395752,86.55725631047129,205.8971674201194,0.7778750061988831,191.15347789140526,88.03691339195146,0.62325119972229,207.49072875214574,254.18801083606428,0.5765668153762817,313.3819194512718,65.91390233033903,0.42577677965164185,304.17303687773096,281.0139571629213,0.04020848870277405,187.776347071044,167.42443527621722,0.2832857370376587,196.45135231351435,177.97173576974095,0.10024258494377136,266.22494221090824,95.15639995903558,0.06912440061569214,266.3119257666198,95.04479828071355,0.17517223954200745,310.16570534390604,284.12381983458175,0.4557170867919922,304.80432662297125,278.7944726074828,0.2477538287639618,257.51154501697096,259.7627513947409,0.027621835470199585,361.5924119508817,230.32090928819443
87,0.49051155062282786,0.4455597400665283,97.04154672991767,168.6169208045607,0.9861454963684082,79.97404657142438,150.44678374444052,0.9994874000549316,82.81667690777154,184.03434061914794,0.9709882736206055,89.84523328383466,128.1296283088522,0.971153974533081,85.41861979166666,206.02853092569833,0.7838119268417358,191.2828788233458,90.37411655230765,0.5558371543884277,192.97678042827323,250.29455124453807,0.5207300186157227,317.30325618367664,67.74008426356703,0.4941331148147583,301.9250162150827,281.20967016327245,0.048542290925979614,293.4615678156211,178.21102650007802,0.18116188049316406,196.58452081382646,176.2625633363569,0.2895872890949249,301.5367131417759,172.81579696521925,0.07731673121452332,287.2334478142556,169.20085092608846,0.30583012104034424,308.88731066147784,283.55530379506087,0.5306932330131531,306.14346081070534,279.7907150973393,0.16712462902069092,362.57885589790106,108.48834175176536,0.01059308648109436,276.05640471383424,65.3329232319464
88,0.46459317733259764,0.4228809177875519,92.35749228259597,168.05652724133896,0.9894899129867554,78.94946852932857,151.1888228093789,0.9981507062911987,80.826963884256,185.62651787804307,0.9513776302337646,83.78605935695614,126.03139355834503,0.9159501194953918,85.11485780103972,206.4836474548416,0.7759424448013306,192.3592000477918,90.70642897549938,0.47513172030448914,202.7470306891776,255.65203346890604,0.7223507165908813,319.7386238393414,67.26708252867509,0.5806597471237183,304.2347505071785,282.6738647003745,0.05068486928939819,347.3386837010377,247.35599116826623,0.1791599988937378,204.43869753872113,182.2479401968243,0.06247115135192871,302.1059454490481,169.80599689840824,0.08303731679916382,321.49941052688047,182.55580640166588,0.14372366666793823,305.03212841857834,289.49508305048374,0.19466382265090942,257.97253494167444,92.15440004803565,0.3395439088344574,277.48676276236733,243.6827409341838,0.01286536455154419,264.1254468291589,75.41439183076818
89,0.4653936168726753,0.5775415897369385,94.82258504993757,169.12207579880618,0.9964342713356018,78.85777909449126,151.73040718145288,0.9990019798278809,80.11303116587663,184.90993496898406,0.9125384092330933,83.81685887025982,126.54431289501404,0.9526211023330688,84.00719269979908,206.67116635211843,0.7758114337921143,191.25121978874063,89.30386927839224,0.3914903402328491,188.27753394194755,244.2611128179619,0.6416930556297302,317.08791744694133,67.41369537467813,0.6230429410934448,311.038320019897,279.66167229927436,0.06817987561225891,363.24810783395753,248.25229998146847,0.11149874329566956,184.11384085323033,179.30240367265526,0.08341926336288452,266.2210170636314,92.13446631651841,0.08126240968704224,272.6843307437968,178.72683955846207,0.20795243978500366,308.19164277075527,283.1448250721754,0.25213679671287537,264.8109723685237,89.86195645945497,0.22125816345214844,257.6915860789248,241.4304226650281,0.015808671712875366,304.6617893404728,224.76176904113998
90,0.4962426967480603,0.6399308443069458,91.43243248185861,167.36965511860174,0.9949578642845154,78.94160390941987,151.534264420451,0.9939560890197754,81.5973098507237,185.53982082943196,0.9153801202774048,82.47354884153597,126.46588157625233,0.9368079900741577,81.78261548064918,206.3011424318235,0.7576781511306763,188.04569239622347,89.4159580187851,0.6352477669715881,177.20933488900593,248.9777359599329,0.6666358709335327,314.21958026100185,66.87538434622736,0.9307926297187805,312.7621472914716,277.5028699477216,0.07774579524993896,254.0968387903792,95.17716456114427,0.23242312669754028,191.38814153206928,188.48343775602763,0.059076786041259766,316.8529816245318,159.23518849728853,0.10441285371780396,309.2153039901295,212.0202682437968,0.08295780420303345,314.1234857794944,282.9723191469647,0.15966597199440002,254.22883261157926,92.89593772554814,0.21381345391273499,255.3276446434145,231.20362333947799,0.03464272618293762,251.17985269877494,255.28857056121254
91,0.49801547562374787,0.6671745777130127,94.42811491129252,169.20642348919318,0.9956668615341187,79.7069789776939,152.07263991299936,0.994195818901062,79.4236735940426,185.594343130657,0.8955772519111633,84.33918996518024,128.0912936588054,0.860190749168396,84.60039848870552,207.73745982804695,0.7614073157310486,187.17953845534876,88.97586162438553,0.4658963680267334,199.52063125438903,252.81337841857834,0.698284924030304,315.8538740636704,67.40289405698931,0.8792378306388855,314.3973006154416,276.6754087907693,0.22277089953422546,258.4715443586142,98.4620687458548,0.2258175015449524,185.9057135611735,182.49906367041197,0.11348247528076172,296.1372862778948,173.18126542261626,0.10338899493217468,318.0326173094179,216.28644492236268,0.2579934597015381,312.19775695419787,282.07320256417756,0.1720971167087555,257.5364138332943,95.7323795085245,0.1017192006111145,292.05292700530583,238.25205614563825,0.05136173963546753,215.57363842072408,251.8391683247503
92,0.4433141368276933,0.681561291217804,94.487199838093,170.13281554794787,0.9943981170654297,80.66072530186875,152.6994028460518,0.9917901158332825,80.88527524188514,184.67415395062812,0.8782188892364502,89.8784251314275,128.88003338112514,0.8900460004806519,84.38476608219217,207.01763938875234,0.7689621448516846,187.55341589614542,89.54569559656873,0.45305031538009644,199.60844568069209,262.10013362203495,0.6642861366271973,319.64333157771534,67.50633028294709,0.38176560401916504,312.52958947799624,276.6163883280665,0.06970599293708801,269.03185227450064,97.07208671045957,0.08576244115829468,189.06336561719723,175.83145610223548,0.0795200765132904,267.8957656688904,93.55332826764396,0.07348692417144775,296.3293319873595,206.24186411273018,0.135069340467453,312.38960210869226,284.2093422040808,0.18003380298614502,307.2532174137796,277.82943074087075,0.20144030451774597,269.92690045646066,229.54868670021847,0.007242828607559204,218.25533055604322,246.39006112964262
